                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.77755,                0.62718,                  1.312,                0.99698,                      1,                  0.995,                0.81122,                0.74977,                0.45884,                 1.1264,              0.0006932,              0.0006932,              0.0006932
                     35,                0.77219,                 0.6339,                 1.3005,                0.99807,                      1,                  0.995,                0.83477,                0.58407,                0.44144,                 1.0231,              0.0006536,              0.0006536,              0.0006536
                     36,                0.76445,                0.60628,                 1.3077,                0.99317,                      1,                  0.995,                0.88887,                0.52507,                0.42307,                  1.003,               0.000614,               0.000614,               0.000614
                     37,                0.71251,                0.57215,                 1.2597,                0.99777,                      1,                  0.995,                0.93026,                0.39998,                 0.3597,                0.94141,              0.0005744,              0.0005744,              0.0005744
                     38,                0.70121,                0.57108,                 1.2582,                0.98964,                      1,                  0.995,                0.90681,                0.47051,                0.40741,                0.96324,              0.0005348,              0.0005348,              0.0005348
                     39,                0.69962,                0.58471,                 1.2691,                0.99492,                      1,                  0.995,                0.87534,                0.49823,                0.43774,                0.98111,              0.0004952,              0.0004952,              0.0004952
                     40,                 0.5082,                0.51695,                 1.1255,                0.99857,                      1,                  0.995,                0.85536,                 0.5399,                0.38087,                 1.0103,              0.0004556,              0.0004556,              0.0004556
                     41,                0.52613,                0.46574,                 1.1383,                0.61111,                0.58945,                0.55477,                0.24654,                 1.8361,                 1.6667,                    2.4,               0.000416,               0.000416,               0.000416
                     42,                0.48385,                0.43721,                  1.105,                0.99849,                      1,                  0.995,                0.93333,                0.35345,                0.31831,                0.92456,              0.0003764,              0.0003764,              0.0003764
                     43,                0.47135,                0.42447,                 1.0907,                0.99855,                      1,                  0.995,                0.94216,                0.34814,                0.30976,                0.92439,              0.0003368,              0.0003368,              0.0003368
                     44,                0.42746,                0.38851,                 1.0568,                0.99857,                      1,                  0.995,                0.94992,                0.33644,                0.30814,                0.91253,              0.0002972,              0.0002972,              0.0002972
                     45,                0.42295,                0.38525,                 1.0276,                0.99848,                      1,                  0.995,                0.93383,                0.31377,                0.30863,                0.90299,              0.0002576,              0.0002576,              0.0002576
                     46,                0.42828,                0.38536,                 1.0419,                0.99851,                      1,                  0.995,                0.96625,                0.30109,                0.29264,                0.89329,               0.000218,               0.000218,               0.000218
                     47,                0.40092,                0.36429,                 1.0238,                0.99854,                      1,                  0.995,                 0.9555,                0.31471,                0.28151,                0.89555,              0.0001784,              0.0001784,              0.0001784
                     48,                0.39767,                0.35597,                 1.0179,                0.99859,                      1,                  0.995,                0.96356,                0.31444,                0.28871,                0.88778,              0.0001388,              0.0001388,              0.0001388
                     49,                0.37989,                0.34525,                0.99597,                0.99859,                      1,                  0.995,                0.96394,                0.30992,                0.27601,                0.89002,               9.92e-05,               9.92e-05,               9.92e-05
